SMILES,tg,Tg,diameter
*C*,-54,219,1.76255648
*CC(*)C,-3,270,4.200080354
*CC(*)CC,-24.1,248.9,4.98236219
*CC(*)CCC,-37,236,5.804447153
*CC(*)C(C)C,60,333,5.417438742
*CC(*)CCCC,-50,223,6.663440165
*CC(*)CC(C)C,35.2,308.2,6.757449492
*CC(*)CCCCC,-45.5,227.5,6.93136974
*CC(*)CCCCCCC,-47,226,9.678515261
*CC(*)CCCCCCCC,-35,238,9.356289366
*CC(*)(C)C,-72,201,4.272963432
*CC(*)(C)CC,-5,268,5.420433173
*CCC(*)(C)C,-12,261,
*CC(C)C(*)(C)C,37,310,
*CCCC(*)(C)C,-20,253,5.882170638
*CCCC(*)(C)CC,-23,250,6.090915682
*CCCCCCCC(*)C,-58,215,9.764520805
*CC(*)C1CCCC1,75,348,6.566097788
*CC(*)CC1CCCC1,60,333,7.632752369
*CC(*)C1CCCCC1,119.7,392.7,6.853751339
*CC(*)CC1CCCCC1,75,348,7.889642124
*CC(*)Cc1ccccc1,70,343,7.11282957
*CC(*)CCc1ccccc1,10,283,7.874116406
*CC(*)CCCCCC,-54,219,9.84809489
*CC(*)CCCCCCCCCC,-6,267,11.72894009
*CC(*)CCCCCCCCCCCC,10,283,13.75282626
*CC(*)CCCCCCCCCCCCCCCC,55,328,14.20971877
*CC(*)CC(C)(C)C,190,463,6.778865757
*CC(*)CCC1CCCCC1,40,313,8.013132649
*CC(*)(C)CCC,27,300,6.783320886
*/C=C/CCC*,-105,168,5.157711889
*/C=C/CC*,-91,182,4.979387775
*CCC(C)C(*)C,-26,247,6.111791347
*CC(*)CCCCCCCCCCCCCC,-24,249,15.83411832
*/C=C/CCCCCC*,-78,195,9.51503734
*CC(*)C1CCCC(C)C1,141,414,7.175564784
*CC(*)C1CCC(C)CC1,132,405,8.244550223
*CC/C=C(/*)CCCCCCC,-83,190,10.74704488
*CC/C=C(/*)C(C)C,-47,226,6.879679555
*/C=C/C1CCC(*)C1,31,304,5.922723781
*/C=C/CCCCCCCCCC*,-53,220,11.99913895
*/C=C/*,-4,269,3.119289181
*CC1(*)CCCCC1,100,373,5.879707099
*CC/C=C(/*)C(C)(C)C,20,293,6.899383672
*CC(*)c1ccccc1,99.9,372.9,7.172874028
*CC(*)c1ccccc1C,131,404,6.951037658
*CC(*)c1ccccc1COC,89,362,8.366631973
*CC(*)c1ccccc1COCC,74,347,9.01680539
*CC(*)c1ccccc1COCCC,97,370,9.0712392
*CC(*)c1ccccc1COC(C)C,88,361,9.015878618
*CC(*)c1ccccc1COCCCC,67,340,10.11645163
*CC(*)c1ccccc1COCCCCC,47,320,11.92597907
*CC(*)c1ccccc1COCCC(C)C,78,351,10.80488743
*CC(*)c1ccccc1COCc1ccccc1,72,345,11.34714124
*CC(*)c1ccccc1COCCc1ccccc1,63,336,11.22468147
*CC(*)c1ccccc1C(=O)NC,189,462,8.206477375
*CC(*)c1ccccc1C(=O)N(C)C,190,463,8.200155811
*CC(*)c1ccccc1C(=O)Nc1ccccc1,191,464,11.50081197
*CC(*)c1ccccc1C(=O)O,177,450,7.253537564
*CC(*)c1ccccc1C(=O)OC,130,403,8.157117772
*CC(*)c1ccccc1C(=O)OCC,118,391,8.864258624
*CC(*)c1ccccc1C(=O)OCCC,108,381,10.16939158
*CC(*)c1ccccc1C(=O)OC(C)C,146,419,9.251087451
*CC(*)c1ccccc1C(=O)OCCCC,66,339,11.4046385
*CC(*)c1ccccc1C(=O)OCC(C)C,127,400,10.12429025
*CC(*)c1ccccc1C(=O)OCCCCC,92,365,12.13775438
*CC(*)c1ccccc1C(=O)OCCC(C)C,68,341,11.54709031
*CC(*)c1ccccc1C(=O)OCCCCCC,45,318,12.15312234
*CC(*)c1ccccc1C(=O)Oc1ccccc1,124,397,11.24856699
*CC(*)c1ccccc1C(=O)OCCN(C)C,69,342,10.16773477
*CC(*)c1ccc(C(=O)OCCN(C)C)cc1,91,364,13.59478753
*CC(*)c1ccccc1Cl,119,392,7.038420353
*CC(*)c1ccccc1F,160.5,433.5,7.071013646
*CC(*)c1cccc(C)c1,75,348,7.821863842
*CC(*)c1cccc(Cl)c1,90,363,7.143230902
*CC(*)c1cccc(F)c1,86,359,7.175984733
*CC(*)c1ccc(C)cc1,103,376,7.780800444
*CC(*)c1ccc(CC)cc1,71.4,344.4,9.378795446
*CC(*)c1ccc(C(C)C)cc1,62.4,335.4,9.2968095
*CC(*)c1ccc(CCCC)cc1,6,279,9.986661616
*CC(*)c1ccc(C(C)(C)C)cc1,138,411,9.285192001
*CC(*)c1ccc(CCCCCC)cc1,-27,246,11.35914462
*CC(*)c1ccc(CCCCCCCC)cc1,-45,228,14.0980391
*CC(*)c1ccc(CCCCCCCCC)cc1,-53,220,13.4543483
*CC(*)c1ccc(CCCCCCCCCC)cc1,-65,208,15.01223191
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,-52,221,17.24374868
*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,-36,237,18.29463979
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,4.5,277.5,19.42580737
*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,32,305,17.49792302
*CC(*)c1ccc(-c2ccccc2)cc1,161.5,434.5,11.15311703
*CC(*)c1ccc(COCCOCC)cc1,0,273,12.12157456
*CC(*)c1ccc(C#N)cc1,180,453,8.523186852
*CC(*)c1ccc(Cl)cc1,124,397,7.727020047
*CC(*)c1ccc(Br)cc1,132,405,7.858851127
*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,42,315,14.54557524
*CC(*)c1ccc(/C(C)=N/O)cc1,134,407,10.2452195
*CC(*)c1ccc(C(C)(C)O)cc1,170,443,9.309647579
*CC(*)c1ccc(C(C)(O)CC)cc1,190,463,10.35158789
*CC(*)c1ccc(C(C)(O)CCC)cc1,135,408,10.72991364
*CC(*)c1ccc(C(C)(O)CCCC)cc1,90,363,9.281736917
*CC(*)c1ccc(C(C)(O)CCCCC)cc1,100,373,12.34149849
*CC(*)c1ccc(C(O)CCN(C)C)cc1,43,316,9.783917975
*CC(*)c1ccc(C(O)CCN2CCCCC2)cc1,54,327,13.66237974
*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1,50,323,11.58834321
*CC(*)c1ccc(COC)cc1,77,350,9.542298974
*CC(*)c1ccc(COCCO)cc1,46,319,10.06338275
*CC(*)c1ccc(COCCC)cc1,22,295,11.04469538
*CC(*)c1ccc(COCCCC)cc1,10,283,13.12963238
*CC(*)c1ccc(COCCCCO)cc1,20,293,11.79676849
*CC(*)c1ccc(COC(C)CC)cc1,40,313,11.67952186
*CC(*)c1ccc(COCCCCCC)cc1,-20,253,12.65450095
*CC(*)c1ccc(COCCOCCCC)cc1,-38,235,12.78601444
*CC(*)c1ccc(C(=O)N(C)C)cc1,125,398,10.44546389
*CC(*)c1ccc(C(=O)N(CC)CC)cc1,102,375,11.45607999
*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,114,387,11.65270577
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,38,311,13.02217435
*CC(*)c1ccc(C(=O)N2CCOCC2)cc1,127,400,11.72895073
*CC(*)c1ccc(C(=O)OC)cc1,122,395,10.14842847
*CC(*)c1ccc(C(=O)OCC)cc1,94,367,10.98032479
*CC(*)c1ccc(C(=O)OCCC)cc1,92,365,12.20966399
*CC(*)c1ccc(C(=O)OC(C)C)cc1,95,368,11.56005791
*CC(*)c1ccc(C(=O)OCCCC)cc1,76,349,12.27056617
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,90,363,10.98049812
*CC(*)c1ccc(C(=O)OCCCCCC)cc1,66,339,14.34294977
*CC(*)c1ccc(C(=O)CC)cc1,102,375,10.2467013
*CC(*)c1ccc(C(=O)CCC)cc1,74,347,11.29100191
*CC(*)c1ccc(C(=O)CCCC)cc1,70,343,11.4428549
*CC(*)c1ccc(C(=O)CCCCC)cc1,66,339,13.42111468
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,50,323,14.67758077
*CC(*)c1ccc(C(=O)Cc2ccccc2)cc1,78,351,13.37267056
*CC(*)c1ccc(C(=O)c2ccccc2)cc1,98,371,11.72011935
*CC(*)c1ccc(C(=O)c2ccc(C)cc2)cc1,99,372,13.17127499
*CC(*)c1ccc(F)cc1,95,368,7.35422477
*CC(*)c1ccc(I)cc1,158,431,8.067707483
*CC(*)c1ccc(OC)cc1,108.4,381.4,9.184997666
*CC(*)c1ccc(OCC)cc1,86,359,9.822842769
*CC(*)c1ccc(OCCC)cc1,70,343,11.339921
*CC(*)c1ccc(OCCCC)cc1,52,325,11.19325317
*CC(*)c1ccc(OCCC(C)C)cc1,57,330,12.80758013
*CC(*)c1ccc(Oc2ccccc2)cc1,85,358,11.19299192
*CC(*)c1ccc(S(=O)(=O)OCCC)cc1,217,490,11.82890974
*CC(*)c1ccc([Si](C)(C)C)cc1,136,409,9.533896036
*CC(*)c1c(Cl)cccc1Cl,165,438,7.193314365
*CC(*)c1ccc(C)cc1C,112,385,7.848487777
*CC(*)c1ccc(Cl)cc1C,145,418,7.87282454
*CC(*)c1ccc(Cl)cc1Cl,135,408,7.844174486
*CC(*)c1cc(C)ccc1C,143,416,7.089514869
*CC(*)c1cc(C(C)(C)C)ccc1C,87,360,8.266422364
*CC(*)c1cc(Cl)ccc1Cl,108,381,6.939370414
*CC(*)c1cc(Br)ccc1OCCCC,47,320,10.36790043
*CC(*)c1cc(Br)ccc1OCC,80,353,9.098709383
*CC(*)c1cc(Br)ccc1OC,86,359,7.913373417
*CC(*)c1cc(Br)ccc1OCCC,54,327,9.883762382
*CC(*)c1cc(Br)ccc1OC(C)C,35,308,8.966707285
*CC(*)c1cc(Br)ccc1OCCCCC,49,322,10.46673157
*CC(*)c1cc(Br)ccc1OCCC(C)C,37,310,11.29616767
*CC(*)c1cc(C)cc(C)c1,112,385,7.691551267
*CC(*)c1ccc(C)c(C)c1,111,384,7.842630081
*CC(*)c1ccc(Cl)c(C)c1,114,387,7.53814761
*CC(*)c1ccc(Cl)c(Cl)c1,128,401,7.788507648
*CC(*)c1ccc(Cl)c(F)c1,122,395,7.402475241
*CC(*)c1c(C)cc(C)cc1C,126,399,8.005525099
*CC(*)c1cc(C)c(C)cc1C,104,377,8.091871829
*CC(*)(C)c1ccccc1,168,441,7.176465874
*CC(*)(C)c1ccc(C(C)C)cc1,140,413,9.384673976
*C(F)(F)C(*)(F)c1ccccc1,206,479,7.357869046
*C(F)(F)C(*)(F)c1c(F)c(F)c(F)c(F)c1F,194,467,7.781252734
*CC(*)c1cccc2ccccc12,160,433,7.628312239
*CC(*)c1ccc(C(C)=O)cc1,115.5,388.5,9.132872244
*CC(*)c1ccc(C(=O)CCN2CCOCC2)cc1,41,314,12.5002985
*CC(*)(C(=O)OC)c1ccccc1,121,394,8.010825419
*CC(*)(C)c1ccc(C)cc1,176,449,8.09957577
*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,95,368,9.627178612
